actor_id,full_name,title,category_id,release_year_x,film_id,description,release_year_y,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,PENELOPE GUINESS,ACADEMY DINOSAUR,6,2006,1,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,ANACONDA CONFESSIONS,2,2006,23,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",15/2/06 05:03
1,PENELOPE GUINESS,ANGELS LIFE,13,2006,25,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,,3,2.99,74,15.99,G,Trailers,15/2/06 05:03
1,PENELOPE GUINESS,BULWORTH COMMANDMENTS,10,2006,106,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,,4,2.99,61,14.99,G,Trailers,15/2/06 05:03
1,PENELOPE GUINESS,CHEAPER CLYDE,14,2006,140,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,COLOR PHILADELPHIA,4,2006,166,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,ELEPHANT TROJAN,11,2006,277,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,2006,1,,4,4.99,126,24.99,PG-13,Behind the Scenes,15/2/06 05:03
1,PENELOPE GUINESS,GLEAMING JAWBREAKER,15,2006,361,A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies,2006,1,,5,2.99,89,25.99,NC-17,"Trailers,Commentaries",15/2/06 05:03
1,PENELOPE GUINESS,HUMAN GRAFFITI,10,2006,438,A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico,2006,1,,3,2.99,68,22.99,NC-17,"Trailers,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,KING EVOLUTION,8,2006,499,A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon,2006,1,,3,4.99,184,24.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,LADY STAGE,11,2006,506,A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat,2006,1,,4,4.99,67,14.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,LANGUAGE COWBOY,3,2006,509,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,1,,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes",15/2/06 05:03
1,PENELOPE GUINESS,MULHOLLAND BEAST,9,2006,605,A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat,2006,1,,7,2.99,157,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,OKLAHOMA JUMANJI,13,2006,635,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,2006,1,,7,0.99,58,15.99,PG,Behind the Scenes,15/2/06 05:03
1,PENELOPE GUINESS,RULES HUMAN,11,2006,749,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,2006,1,,6,4.99,153,19.99,R,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,SPLASH GUMP,8,2006,832,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,2006,1,,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,VERTIGO NORTHWEST,5,2006,939,A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan,2006,1,,4,2.99,90,17.99,R,"Commentaries,Behind the Scenes",15/2/06 05:03
1,PENELOPE GUINESS,WESTWARD SEABISCUIT,4,2006,970,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,2006,1,,7,0.99,52,11.99,NC-17,"Commentaries,Deleted Scenes",15/2/06 05:03
1,PENELOPE GUINESS,WIZARD COLDBLOODED,12,2006,980,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,2006,1,,4,4.99,75,12.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,ADAPTATION HOLES,6,2006,3,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",15/2/06 05:03
2,NICK WAHLBERG,APACHE DIVINE,8,2006,31,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,BABY HALL,9,2006,47,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,,5,4.99,153,23.99,NC-17,Commentaries,15/2/06 05:03
2,NICK WAHLBERG,BULL SHAWSHANK,1,2006,105,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,2006,1,,6,0.99,125,21.99,NC-17,Deleted Scenes,15/2/06 05:03
2,NICK WAHLBERG,CHAINSAW UPTOWN,14,2006,132,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,2006,1,,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,CHISUM BEHAVIOR,8,2006,145,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,2006,1,,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,DESTINY SATURDAY,13,2006,226,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,2006,1,,4,4.99,56,20.99,G,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
