film_id;title;category_id;release_year;description;language_id;rental_duration;rental_rate;length;rating;special_features;replacement_cost
1;ACADEMY DINOSAUR;6;2006;A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies;1;6;0.99;86;PG;Deleted Scenes,Behind the Scenes;20.99
2;ACE GOLDFINGER;11;2006;A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China;1;3;4.99;48;G;Trailers,Deleted Scenes;12.99
3;ADAPTATION HOLES;6;2006;A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory;1;7;2.99;50;NC-17;Trailers,Deleted Scenes;18.99
4;AFFAIR PREJUDICE;0;2006;A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank;1;5;2.99;117;G;Commentaries,Behind the Scenes;26.99
5;AFRICAN EGG;0;2006;A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico;1;6;2.99;130;G;Deleted Scenes;22.99
6;AGENT TRUMAN;9;2006;A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China;1;3;2.99;169;PG;Deleted Scenes;17.99
7;AIRPLANE SIERRA;0;2006;A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat;1;6;4.99;62;PG-13;Trailers,Deleted Scenes;28.99
8;AIRPORT POLLOCK;0;2006;A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India;1;6;4.99;54;R;Trailers;15.99
9;ALABAMA DEVIL;11;2006;A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat;1;3;2.99;114;PG-13;Trailers,Deleted Scenes;21.99
10;ALADDIN CALENDAR;15;2006;A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China;1;6;4.99;63;NC-17;Trailers,Deleted Scenes;24.99
11;ALAMO VIDEOTAPE;0;2006;A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention;1;6;0.99;126;G;Commentaries,Behind the Scenes;16.99
12;ALASKA PHANTOM;12;2006;A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia;1;6;0.99;136;PG;Commentaries,Deleted Scenes;22.99
13;ALI FOREVER;0;2006;A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies;1;4;4.99;150;PG;Deleted Scenes,Behind the Scenes;21.99
14;ALICE FANTASIA;4;2006;A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia;1;6;0.99;94;NC-17;Trailers,Deleted Scenes,Behind the Scenes;23.99
15;ALIEN CENTER;9;2006;A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention;1;5;2.99;46;NC-17;Trailers,Commentaries,Behind the Scenes;10.99
16;ALLEY EVOLUTION;9;2006;A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans;1;6;2.99;180;NC-17;Trailers,Commentaries;23.99
17;ALONE TRIP;12;2006;A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House;1;3;0.99;82;R;Trailers,Behind the Scenes;14.99
18;ALTER VICTORY;0;2006;A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies;1;6;0.99;57;PG-13;Trailers,Behind the Scenes;27.99
19;AMADEUS HOLY;1;2006;A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon;1;6;0.99;113;PG;Commentaries,Deleted Scenes,Behind the Scenes;20.99
20;AMELIE HELLFIGHTERS;0;2006;A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon;1;4;4.99;79;R;Commentaries,Deleted Scenes,Behind the Scenes;23.99
21;AMERICAN CIRCUS;1;2006;A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank;1;3;4.99;129;R;Commentaries,Behind the Scenes;17.99
22;AMISTAD MIDSUMMER;0;2006;A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California;1;6;2.99;85;G;Commentaries,Behind the Scenes;10.99
23;ANACONDA CONFESSIONS;2;2006;A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia;1;3;0.99;92;R;Trailers,Deleted Scenes;9.99
24;ANALYZE HOOSIERS;11;2006;A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert;1;6;2.99;181;R;Trailers,Behind the Scenes;19.99
25;ANGELS LIFE;13;2006;A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin;1;3;2.99;74;G;Trailers;15.99
26;ANNIE IDENTITY;0;2006;A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park;1;3;0.99;86;G;Commentaries,Deleted Scenes;15.99
27;ANONYMOUS HUMAN;15;2006;A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank;1;7;0.99;179;NC-17;Deleted Scenes,Behind the Scenes;12.99
28;ANTHEM LUKE;0;2006;A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park;1;5;4.99;91;PG-13;Deleted Scenes,Behind the Scenes;16.99
29;ANTITRUST TOMATOES;1;2006;A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India;1;5;2.99;168;NC-17;Trailers,Commentaries,Deleted Scenes;11.99
